Athlete,Distance,h,m,s,Time,VO2,BM,height
David Rudisha,400,NA,0,45.5,45.5,92.9,76,190
David Rudisha,600,NA,1,13.1,73.1,92.9,76,190
David Rudisha,800,NA,1,40.91,100.91,92.9,76,190
David Rudisha,1000,NA,2,19.43,139.43,92.9,76,190
Derek Clayton,400,NA,NA,52.8,52.8,69.7,72,187
Derek Clayton,800,NA,1,56.3,116.3,69.7,72,187
Derek Clayton,1500,NA,3,47.8,227.8,69.7,72,187
Derek Clayton,1609,NA,4,7.5,247.5,69.7,72,187
Derek Clayton,5000,NA,13,45,825,69.7,72,187
Derek Clayton,10000,NA,28,32.2,1712.2,69.7,72,187
Derek Clayton,16090,NA,47,38,2858,69.7,72,187
Derek Clayton,24135,NA,71,37,4297,69.7,72,187
Derek Clayton,42195,2,8,34,7714,69.7,72,187
Eliud Kipchoge,1500,0,3,33.2,213.2,NA,52,167
Eliud Kipchoge,1609,0,3,50.4,230.4,NA,52,167
Eliud Kipchoge,3000,0,7,27.66,447.66,NA,52,167
Eliud Kipchoge,3218,0,8,7.39,487.39,NA,52,167
Eliud Kipchoge,5000,0,12,46.53,766.53,NA,52,167
Eliud Kipchoge,10000,0,26,49.02,1609.02,NA,52,167
Eliud Kipchoge,21100,0,59,25,3565,NA,52,167
Eliud Kipchoge,42195,2,1,9,7269,NA,52,167
Haile Gebresselassie,800,0,1,49.35,109.35,84.7,54,164
Haile Gebresselassie,1500,0,3,31.76,211.76,84.7,54,164
Haile Gebresselassie,1609,0,3,52.39,232.39,84.7,54,164
Haile Gebresselassie,2000,0,4,52.86,292.86,84.7,54,164
Haile Gebresselassie,3000,0,7,25.09,445.09,84.7,54,164
Haile Gebresselassie,3218,0,8,1.08,481.08,84.7,54,164
Haile Gebresselassie,5000,0,12,39.36,759.36,84.7,54,164
Haile Gebresselassie,10000,0,26,22.75,1582.75,84.7,54,164
Haile Gebresselassie,21285,1,0,0,3600,84.7,54,164
Haile Gebresselassie,21100,0,58,55,3535,84.7,54,164
Haile Gebresselassie,25000,1,11,37,4297,84.7,54,164
Haile Gebresselassie,42195,2,3,59,7439,84.7,54,164
Jakob Ingebrigsten,800,NA,1,46.44,106.44,NA,74,186
Jakob Ingebrigsten,1500,NA,3,27.14,207.14,NA,74,186
Jakob Ingebrigsten,1609,NA,3,43.73,223.73,NA,74,186
Jakob Ingebrigsten,2000,NA,4,43.13,283.13,NA,74,186
Jakob Ingebrigsten,3000,NA,7,23.63,443.63,NA,74,186
Jakob Ingebrigsten,3218,NA,7,54.1,474.1,NA,74,186
Jakob Ingebrigsten,5000,NA,12,48.45,768.45,NA,74,186
Jakob Ingebrigsten,10000,NA,27,54,1674,NA,74,186
Jimmy Gressier,1000,NA,2,18.87,138.87,NA,62,175
Jimmy Gressier,1500,NA,3,33.9,213.9,NA,62,175
Jimmy Gressier,2000,NA,4,57.97,297.97,NA,62,175
Jimmy Gressier,3000,NA,7,39.7,459.7,NA,62,175
Jimmy Gressier,5000,NA,12,56.09,776.09,NA,62,175
