1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.3,10.3,10.3,10.3,10.3,10.3,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.06,10.06,10.06,10.06,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.93,9.93,9.93,9.93,9.93,9.92,9.92,9.92,9.86,9.86,9.86,9.85,9.85,9.84,9.84,9.84,9.79,9.79,9.79,9.78,9.78,9.78,9.77,9.762,9.74,9.69,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58,9.58
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.5,20.5,20.5,20.3,20.2,20.2,20.2,20.2,20,20,20,20,20,20,20,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19,19.19
48.2,48.2,48.2,48.2,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47,47,47,47,46.2,46.2,46.2,46.2,46.1,46.1,46.1,46,46,46,46,46,46,46,46,46,45.9,45.9,45.8,45.8,45.8,45.8,45.8,45.4,45.2,45.2,45.2,45.2,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.1,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.18,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03
111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.6,111.6,110.6,110.6,110.6,110.6,109.8,109.8,109.8,109.8,109.7,109.6,108.4,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,105.7,105.7,105.7,105.7,105.7,105.7,105.7,104.3,104.3,104.3,104.3,104.3,104.3,104.3,104.3,104.3,104.3,104.3,103.7,103.7,103.7,103.5,103.44,103.44,102.33,102.33,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.73,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.01,101.01,100.91,100.91,100.91,100.91,100.91,100.91,100.91,100.91,100.91,100.91,100.91,100.91
235.8,235.8,235.8,235.8,235.8,234.7,234.7,234.7,234.7,234.7,234.7,234.7,232.6,232.6,231,231,231,231,229.2,229.2,229.2,229,228.8,228.8,227.8,227.8,227.8,227.8,227.8,227.5,225.8,224.9,223,223,223,223,223,223,223,223,223,223,221.8,220.8,220.6,218.1,216,216,215.6,215.6,215.6,215.6,215.6,215.6,215.6,213.1,213.1,213.1,213.1,213.1,213.1,213.1,212.16,212.16,212.16,212.16,212.16,212.03,211.36,211.36,211.36,210.8,210.8,209.5,209.5,209.5,209.5,209.5,209.5,209.5,208.9,208.9,208.9,207.4,207.4,207.4,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
254.4,254.4,254.4,252.6,252.6,252.6,252.6,252.6,252.6,252.6,252.6,250.4,250.4,250.4,250.4,250.4,250.4,250.4,250.4,249.2,249.2,247.6,246.7,246.7,246.7,246.4,246.4,246.4,246.4,246.4,244.6,242.6,241.6,241.3,241.3,241.3,241.3,241.3,241.3,241.3,241.3,241.3,237.9,237.9,237.9,237.2,234.5,234.5,234.5,234.5,234.4,234.4,234,233.6,231.3,231.1,231.1,231.1,231.1,231.1,231.1,231.1,231.1,229.4,229.4,229.4,229.4,228.95,228.8,227.3,227.3,227.3,227.3,226.3,226.3,226.3,226.3,226.3,226.3,226.3,226.3,224.4,224.4,224.4,224.4,224.4,224.4,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1
516.8,516.8,516.8,516.8,516.8,516.8,513.2,513.2,513.2,513.2,508.6,508.6,508.6,507.6,500.4,500.4,500.4,500.4,500.4,500.4,498.8,498.8,498,498,494.8,494.8,494.8,494.8,489,489,481.2,481.2,481.2,481.2,481.2,481.2,481.2,478.8,478.8,478.8,478.8,478.8,478.8,475.6,472.8,472.8,472.8,472.8,472.8,472.8,469.2,469.2,469.2,459.6,459.6,459.6,459.6,459.6,459.6,459.6,457.6,457.6,455.2,455.2,455.2,455.2,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,449.5,449.5,449.5,449,449,445.1,445.1,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7,440.7
876.6,876.6,876.6,876.6,876.6,876.6,876.6,876.6,876.6,876.6,875.4,875.4,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,857,857,857,857,857,857,857,848.08,848.08,848.08,838.2,838.2,838.2,838.2,838.2,838.2,838.2,838.2,838.2,838.2,838.2,838.2,831.2,820.6,816.8,815,815,815,815,815,815,815,815,804.2,796.6,796.6,796.6,796.6,796.6,796.6,793,793,793,793,793,792.9,788.04,788.04,788.04,786.2,780.4,780.4,780.4,780.4,780.4,778.4,778.4,778.4,778.4,778.4,778.4,778.4,777,764.4,764.4,759.7,759.4,759.4,759.4,759.4,759.4,759.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,757.4,755.36,755.36,755.36,755.36
1858.8,1858.8,1858.8,1858.8,1858.8,1858.8,1858.8,1858.8,1858.8,1840.2,1840.2,1840.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1806.2,1805.6,1802,1792.6,1792.6,1792.6,1792.6,1792.6,1775.4,1775.4,1775.4,1775.4,1775.4,1761.2,1742.6,1742.6,1742.6,1741.6,1734.2,1734.2,1710.4,1710.4,1710.4,1710.4,1698.8,1698.8,1698.2,1695.6,1695.6,1659.4,1659.4,1659.4,1659.4,1659.4,1659.4,1659.4,1658.4,1650.8,1650.8,1650.8,1650.8,1650.5,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4,1633.8,1633.8,1633.8,1633.8,1633.8,1628.2,1628.2,1628.2,1628.2,1618.4,1612.2,1603.5,1598.1,1587.9,1582.7,1582.7,1582.7,1582.7,1582.7,1582.7,1580.3,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1577.5,1571,1571,1571,1571
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4020.6,4020.6,4020.6,4020.6,4020.6,3926.4,3925.2,3925.2,3925.2,3811.8,3811.8,3811.8,3811.8,3811.8,3811.8,3811.8,3807.6,3742.2,3742.2,3739.2,3729.6,3688.2,3681.6,3679.2,3679.2,3633,3633,3633,3633,3633,3627.6,3627.6,3627.6,3568.2,3568.2,3568.2,3568.2,3568.2,3550.2,3550.2,3550.2,3550.2,3550.2,3550.2,3550.2,3549.6,3535,3513,3513,3513,3503,3503,3503,3503,3503,3503,3503,3503,3503,3481,3452,3451,3451,3451
